id,Name,From,To,Height,Weight,Age,Year,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,score2
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,26.0,1986,BOS,NBA,SG,18,18.0,36.2,5.9,10.7,0.554,0.8,1.9,0.412,5.2,8.8,0.585,0.591,2.9,3.3,0.867,1.2,3.0,4.2,5.2,2.3,0.1,1.7,3.2,15.6,16.89888722627355
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,27.0,1987,BOS,NBA,SG,20,19.0,38.1,5.8,11.9,0.487,1.6,3.7,0.438,4.2,8.3,0.509,0.555,1.6,1.8,0.861,0.7,2.0,2.6,4.6,1.2,0.2,2.1,3.1,14.8,13.20863217344313
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,28.0,1988,BOS,NBA,SG,17,17.0,39.4,4.2,10.8,0.386,1.1,3.4,0.328,3.1,7.4,0.413,0.438,2.2,2.5,0.881,0.9,2.2,3.1,6.4,0.5,0.1,2.4,3.8,11.6,12.628498516772657
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,31.0,1991,POR,NBA,SG,16,0.0,17.3,2.9,6.6,0.448,0.7,2.3,0.306,2.3,4.3,0.522,0.5,1.4,1.8,0.821,0.1,1.7,1.8,1.9,0.8,0.3,1.5,2.1,8.0,6.50286579626188
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,32.0,1992,POR,NBA,SG,21,0.0,21.4,3.9,8.0,0.479,1.0,2.5,0.404,2.9,5.6,0.513,0.541,1.9,2.2,0.83,0.4,1.5,1.9,2.3,0.7,0.0,1.2,2.8,10.6,8.620898560232822
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,33.0,1993,PHO,NBA,SG,24,0.0,24.6,2.7,7.1,0.376,1.4,3.3,0.413,1.3,3.8,0.344,0.474,1.4,1.6,0.872,0.8,1.7,2.5,2.3,0.5,0.1,0.9,2.5,8.1,7.0070804690344834
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,34.0,1994,PHO,NBA,SG,10,0.0,23.0,2.7,5.9,0.458,1.7,4.0,0.425,1.0,1.9,0.526,0.602,1.5,2.1,0.714,0.7,1.6,2.3,2.1,0.6,0.1,0.5,2.6,8.6,7.398137857140435
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,35.0,1995,PHO,NBA,SG,10,0.0,13.7,1.9,3.8,0.5,1.2,2.6,0.462,0.7,1.2,0.583,0.658,1.0,1.1,0.909,0.2,0.8,1.0,1.0,0.5,0.0,0.6,1.5,6.0,4.7409321328704
aldrila01,LaMarcus Aldridge,2007,2022,210.82,113.3980925,23.0,2009,POR,NBA,PF,6,6.0,39.5,8.5,17.3,0.49,0.2,0.7,0.25,8.3,16.7,0.5,0.495,2.3,3.3,0.7,1.5,6.0,7.5,1.3,0.5,1.7,1.7,2.7,19.5,13.62548851583598
aldrila01,LaMarcus Aldridge,2007,2022,210.82,113.3980925,24.0,2010,POR,NBA,PF,6,6.0,38.2,6.7,15.5,0.43,0.2,0.3,0.5,6.5,15.2,0.429,0.435,5.5,7.3,0.75,1.7,4.3,6.0,2.2,1.2,1.8,1.8,2.7,19.0,14.413265435800993
aldrila01,LaMarcus Aldridge,2007,2022,210.82,113.3980925,25.0,2011,POR,NBA,PF,6,6.0,43.0,8.8,19.2,0.461,0.0,0.0,0.0,8.8,19.2,0.461,0.461,3.2,4.0,0.792,2.7,4.8,7.5,1.3,1.3,1.7,1.5,3.2,20.8,14.849090470016389
aldrila01,LaMarcus Aldridge,2007,2022,210.82,113.3980925,28.0,2014,POR,NBA,PF,11,11.0,40.1,10.3,22.7,0.452,0.2,0.3,0.667,10.1,22.5,0.449,0.456,5.5,6.8,0.8,2.7,7.9,10.6,1.5,0.6,1.6,1.7,3.6,26.2,18.773639939665205
aldrila01,LaMarcus Aldridge,2007,2022,210.82,113.3980925,29.0,2015,POR,NBA,PF,5,5.0,41.6,7.4,22.4,0.33,0.6,2.2,0.273,6.8,20.2,0.337,0.344,6.4,7.2,0.889,4.2,7.0,11.2,1.8,0.4,2.4,1.6,3.2,21.8,16.463747241758362
aldrila01,LaMarcus Aldridge,2007,2022,210.82,113.3980925,30.0,2016,SAS,NBA,PF,10,10.0,33.7,8.8,16.9,0.521,0.2,0.2,1.0,8.6,16.7,0.515,0.527,4.1,4.6,0.891,2.2,6.1,8.3,1.0,0.4,1.4,1.1,1.8,21.9,16.877511911215986
aldrila01,LaMarcus Aldridge,2007,2022,210.82,113.3980925,31.0,2017,SAS,NBA,PF,16,16.0,33.6,6.9,15.0,0.458,0.1,0.9,0.143,6.8,14.1,0.478,0.463,2.6,3.4,0.764,2.7,4.8,7.4,1.5,0.6,1.0,1.8,2.6,16.5,12.352083094856297
